COMMON_NAME,SPECIES_ITIS,STOCK_ABBREV,SEX_TYPE,SURVEY,PURPOSE_CODE,SEASON,YEAR,CRUISE6,STRATUM,TOW,STATION,SHG,TOGA,TOWDATE,DEPTH,BOT_TEMP,LATITUDE,LONGITUDE,CATCH_WT_CAL,CATCH_NO_CAL
"FLOUNDER,SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,NMFS fall BTS,10,FALL,1963,196307,01260,001,0001,123,,13NOV1963:19:14:00,58,10.1,42.100000,-70.233333,2.338,7.7
"FLOUNDER,SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,NMFS fall BTS,10,FALL,1963,196307,01260,002,0002,135,,13NOV1963:22:01:00,28,9.9,42.166667,-70.250000,,
"FLOUNDER,SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,NMFS fall BTS,10,FALL,1963,196307,01260,003,0003,123,,14NOV1963:00:15:00,75,8.1,42.300000,-70.116667,,
"FLOUNDER,SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,NMFS fall BTS,10,FALL,1963,196307,01260,004,0004,135,,14NOV1963:01:46:00,32,10.1,42.300000,-70.250000,,
"FLOUNDER,SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,NMFS fall BTS,10,FALL,1963,196307,01260,005,0005,123,,14NOV1963:03:52:00,93,9.4,42.266667,-70.416667,,
"FLOUNDER,SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,NMFS fall BTS,10,FALL,1963,196307,01260,006,0006,135,,14NOV1963:07:04:00,39,10,42.333333,-70.250000,,
"FLOUNDER,SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,NMFS fall BTS,10,FALL,1963,196307,01260,007,0007,111,,14NOV1963:10:40:00,71,9.9,42.433333,-70.283333,,
"FLOUNDER,SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,NMFS fall BTS,10,FALL,1963,196307,01400,001,0008,121,,14NOV1963:14:42:00,78,8.4,42.766667,-70.600000,,
"FLOUNDER,SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,NMFS fall BTS,10,FALL,1963,196307,01400,002,0009,111,,14NOV1963:16:40:00,40,9.9,42.800000,-70.700000,1.503,6.16
"FLOUNDER,SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,NMFS fall BTS,10,FALL,1963,196307,01400,003,0010,123,,14NOV1963:17:55:00,61,8.8,42.833333,-70.650000,,
"FLOUNDER,SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,NMFS fall BTS,10,FALL,1963,196307,01270,001,0011,111,,14NOV1963:20:14:00,116,8.7,43.000000,-70.416667,,
"FLOUNDER,SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,NMFS fall BTS,10,FALL,1963,196307,01270,002,0013,123,,15NOV1963:00:30:00,113,9.5,43.233333,-70.166667,,
"FLOUNDER,SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,NMFS fall BTS,10,FALL,1963,196307,01380,001,0014,111,,15NOV1963:02:40:00,163,7.1,43.350000,-69.966667,,
"FLOUNDER,SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,NMFS fall BTS,10,FALL,1963,196307,01380,002,0015,111,,15NOV1963:05:18:00,160,6,43.266667,-69.666667,,
"FLOUNDER,SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,NMFS fall BTS,10,FALL,1963,196307,01370,001,0016,111,,15NOV1963:08:21:00,157,6.3,42.933333,-69.416667,,
"FLOUNDER,SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,NMFS fall BTS,10,FALL,1963,196307,01370,002,0017,111,,15NOV1963:11:00:00,162,6.1,42.850000,-69.233333,,
"FLOUNDER,SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,NMFS fall BTS,10,FALL,1963,196307,01370,003,0018,111,,15NOV1963:13:33:00,153,6.4,42.716667,-69.050000,,
"FLOUNDER,SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,NMFS fall BTS,10,FALL,1963,196307,01280,001,0019,123,,15NOV1963:16:25:00,273,6.6,42.550000,-69.483333,,
"FLOUNDER,SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,NMFS fall BTS,10,FALL,1963,196307,01280,002,0020,123,,15NOV1963:22:10:00,240,6.4,42.283333,-69.733333,,
"FLOUNDER,SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,NMFS fall BTS,10,FALL,1963,196307,01280,003,0021,123,,16NOV1963:01:15:00,205,6.6,42.233333,-69.350000,,
"FLOUNDER,SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,NMFS fall BTS,10,FALL,1963,196307,01280,004,0022,123,,16NOV1963:04:45:00,223,6.6,42.416667,-69.033333,,
"FLOUNDER,SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,NMFS fall BTS,10,FALL,1963,196307,01280,005,0023,123,,16NOV1963:07:30:00,201,6.6,42.283333,-68.733333,,
"FLOUNDER,SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,NMFS fall BTS,10,FALL,1963,196307,01280,006,0024,123,,16NOV1963:12:15:00,200,7.1,42.633333,-68.583333,,
"FLOUNDER,SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,NMFS fall BTS,10,FALL,1963,196307,01370,004,0025,111,,16NOV1963:15:15:00,170,6.7,42.783333,-68.800000,,
"FLOUNDER,SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,NMFS fall BTS,10,FALL,1963,196307,01370,005,0026,123,,16NOV1963:17:40:00,185,6.4,43.033333,-68.833333,,
"FLOUNDER,SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,NMFS fall BTS,10,FALL,1963,196307,01380,003,0027,111,,16NOV1963:20:51:00,151,7.2,43.316667,-68.966667,,
"FLOUNDER,SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,NMFS fall BTS,10,FALL,1963,196307,01380,004,0028,111,,16NOV1963:23:39:00,137,7.8,43.583333,-68.816667,,
"FLOUNDER,SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,NMFS fall BTS,10,FALL,1963,196307,01390,001,0029,111,,17NOV1963:02:37:00,103,8.3,43.850000,-68.550000,,
"FLOUNDER,SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,NMFS fall BTS,10,FALL,1963,196307,01380,005,0030,123,,17NOV1963:08:54:00,174,7.3,43.716667,-68.433333,,
"FLOUNDER,SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,NMFS fall BTS,10,FALL,1963,196307,01380,006,0031,111,,17NOV1963:11:49:00,146,7.8,43.500000,-68.533333,,
"FLOUNDER,SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,NMFS fall BTS,10,FALL,1963,196307,01290,001,0034,123,,18NOV1963:05:20:00,195,6.9,42.533333,-68.016667,,
"FLOUNDER,SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,NMFS fall BTS,10,FALL,1963,196307,01290,002,0035,123,,18NOV1963:08:05:00,183,6.8,42.333333,-68.166667,,
"FLOUNDER,SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,NMFS fall BTS,10,FALL,1963,196307,01290,003,0036,111,,18NOV1963:11:17:00,192,6.9,42.333333,-67.833333,,
"FLOUNDER,SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,NMFS fall BTS,10,FALL,1963,196307,01290,004,0037,123,,18NOV1963:14:30:00,192,6.9,42.716667,-67.766667,,
"FLOUNDER,SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,NMFS fall BTS,10,FALL,1963,196307,01380,007,0041,111,,19NOV1963:00:20:00,177,6.9,43.666667,-68.100000,,
"FLOUNDER,SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,NMFS fall BTS,10,FALL,1963,196307,01390,002,0042,111,,19NOV1963:03:35:00,81,7.8,44.066667,-68.100000,,
"FLOUNDER,SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,NMFS fall BTS,10,FALL,1963,196307,01290,005,0059,111,,21NOV1963:04:45:00,261,6.2,42.500000,-66.833333,,
"FLOUNDER,SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,NMFS fall BTS,10,FALL,1963,196307,01290,006,0060,111,,21NOV1963:07:40:00,183,6.6,42.583333,-66.550000,,
"FLOUNDER,SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,NMFS fall BTS,10,FALL,1963,196307,01290,007,0063,123,,21NOV1963:16:30:00,244,6.2,42.433333,-66.400000,,
"FLOUNDER,SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,NMFS fall BTS,10,FALL,1963,196307,01290,008,0067,123,,22NOV1963:04:57:00,188,5.6,42.466667,-65.966667,,
"FLOUNDER,SAND DAB (WINDOWPANE)",172746,GBGOM,NONE,NMFS fall BTS,10,FALL,1963,196307,01290,009,0068,111,,22NOV1963:08:24:00,238,5.7,42.266667,-65.916667,,
