"Model","AIC","Delta.AIC","Definition"
0,8508.17428810418,1178.69141154294,"MEAN_WING_SPRD_METERS ~ MEAN_DOOR_SPREAD_METERS"
1,8434.5696814464,1105.08680488516,"MEAN_WING_SPRD_METERS ~ MEAN_DOOR_SPREAD_METERS + Season"
2,7644.2644208225,314.781544261257,"MEAN_WING_SPRD_METERS ~ MEAN_DOOR_SPREAD_METERS + as.factor(Year)"
3,8456.09152108174,1126.6086445205,"MEAN_WING_SPRD_METERS ~ MEAN_DOOR_SPREAD_METERS + Depth"
4,7525.79395033926,196.31107377802,"MEAN_WING_SPRD_METERS ~ MEAN_DOOR_SPREAD_METERS + Season + as.factor(Year)"
5,7356.15811191149,26.675235350247,"MEAN_WING_SPRD_METERS ~ MEAN_DOOR_SPREAD_METERS + Season * as.factor(Year)"
6,8396.75064768096,1067.26777111971,"MEAN_WING_SPRD_METERS ~ MEAN_DOOR_SPREAD_METERS + Season + Depth"
7,7611.40748112982,281.924604568582,"MEAN_WING_SPRD_METERS ~ MEAN_DOOR_SPREAD_METERS + as.factor(Year) + Depth"
8,7507.26109641569,177.778219854451,"MEAN_WING_SPRD_METERS ~ MEAN_DOOR_SPREAD_METERS + Season + as.factor(Year) + Depth"
9,7329.48287656124,0,"MEAN_WING_SPRD_METERS ~ MEAN_DOOR_SPREAD_METERS + Season * as.factor(Year) + Depth"
