"","x"
"(Intercept)",2.92045642238384
"MEAN_DOOR_SPREAD_METERS",0.303186100698949
"SeasonFall",0.125935659726325
"as.factor(Year)2010",0.215751170492967
"as.factor(Year)2011",-0.155131708303275
"as.factor(Year)2012",-0.40263359785704
"as.factor(Year)2013",-0.456160444724964
"as.factor(Year)2014",0.227492045605397
"as.factor(Year)2015",0.0178332461643465
"as.factor(Year)2016",0.112212111388998
"as.factor(Year)2017",-0.382917546429755
"Depth",-0.000904365278837628
"SeasonFall:as.factor(Year)2010",-0.210447018958687
"SeasonFall:as.factor(Year)2011",-0.33258630747125
"SeasonFall:as.factor(Year)2012",-0.216258723364585
"SeasonFall:as.factor(Year)2013",-0.00455298463783172
"SeasonFall:as.factor(Year)2014",-0.512683690656172
"SeasonFall:as.factor(Year)2015",-0.414958524138324
"SeasonFall:as.factor(Year)2016",-0.512060803193441
"SeasonFall:as.factor(Year)2017",-0.159489568365726
